generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,5.9633,8.2300,8.2300,0.094391,111
2,6.1125,8.5700,8.5700,0.090071,225
3,5.8717,9.2300,9.2300,0.089101,338
4,6.9525,8.5800,9.2300,0.088409,449
5,5.7458,9.1400,9.2300,0.084064,558
6,6.0067,8.0200,9.2300,0.081620,670
7,6.4508,9.1000,9.2300,0.082004,781
8,6.1425,8.5600,9.2300,0.084624,893
9,6.6250,7.6900,9.2300,0.088886,1003
10,6.2708,9.4400,9.4400,0.090153,1116
11,6.4958,8.5300,9.4400,0.089106,1231
12,6.6367,10.3800,10.3800,0.087241,1344
13,6.9125,9.8000,10.3800,0.086052,1456
14,6.4617,8.3200,10.3800,0.082572,1566
15,7.0058,9.2000,10.3800,0.076652,1679
16,6.9417,8.9800,10.3800,0.071778,1797
17,6.9450,8.9400,10.3800,0.067519,1909
18,6.2383,9.7300,10.3800,0.064277,2020
19,6.4433,8.6800,10.3800,0.063128,2131
20,6.2483,8.6400,10.3800,0.062065,2246
21,6.9800,9.4900,10.3800,0.060791,2359
22,7.2292,8.3800,10.3800,0.060450,2469
