generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,4.2885,13.8800,13.8800,0.093966,187
2,7.6192,16.2500,16.2500,0.092292,367
3,10.1292,18.3200,18.3200,0.092017,536
4,15.2715,30.9100,30.9100,0.093513,705
5,24.0377,37.2200,37.2200,0.093602,871
6,28.3977,34.2600,37.2200,0.094954,1041
7,33.0831,42.3200,42.3200,0.097990,1205
8,38.0700,43.5800,43.5800,0.100270,1363
9,39.8400,44.8000,44.8000,0.101949,1527
10,41.2862,44.4700,44.8000,0.099970,1685
11,37.6823,45.0300,45.0300,0.098168,1844
12,39.3385,46.6800,46.6800,0.098046,2002
13,41.8423,48.1200,48.1200,0.099223,2160
14,43.8138,49.4300,49.4300,0.103967,2314
15,45.6585,51.4500,51.4500,0.107846,2462
16,46.8585,51.9100,51.9100,0.109944,2614
17,47.8508,54.3800,54.3800,0.111224,2759
18,46.6231,52.8400,54.3800,0.110813,2904
19,44.6669,51.3200,54.3800,0.105793,3046
20,45.0654,50.4500,54.3800,0.103159,3203
21,47.3562,55.6800,55.6800,0.100603,3360
22,47.5223,51.6900,55.6800,0.097265,3524
23,46.9869,51.9300,55.6800,0.092979,3678
24,46.1323,54.3800,55.6800,0.090552,3834
25,45.4269,50.5800,55.6800,0.091386,3995
26,47.4931,56.5200,56.5200,0.090778,4143
27,46.2754,51.3800,56.5200,0.089804,4299
28,49.2592,53.9900,56.5200,0.093127,4451
29,49.2185,56.4300,56.5200,0.094107,4596
30,49.9292,56.5700,56.5700,0.092457,4742
31,49.4562,53.7400,56.5700,0.091135,4896
32,50.4592,54.4900,56.5700,0.090654,5043
33,49.7862,54.7000,56.5700,0.089618,5186
34,47.3454,52.8400,56.5700,0.086156,5340
35,48.4185,53.6700,56.5700,0.080955,5496
36,48.7931,54.3500,56.5700,0.077234,5641
37,49.3262,56.3200,56.5700,0.075210,5787
38,50.1477,55.2600,56.5700,0.075468,5941
39,50.7877,54.1200,56.5700,0.074468,6093
40,50.1146,54.7100,56.5700,0.071899,6237
