generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,55.3045,59.3900,59.3900,0.045983,79
2,56.5182,60.4500,60.4500,0.041709,168
3,56.4218,61.1600,61.1600,0.040038,257
4,57.6618,59.8600,61.1600,0.036510,343
5,56.3336,60.4400,61.1600,0.035140,422
6,56.1027,61.4700,61.4700,0.035493,506
7,55.2245,57.8100,61.4700,0.034538,586
8,57.0945,62.3500,62.3500,0.033299,669
9,57.5173,61.2200,62.3500,0.031886,758
10,57.0436,60.8900,62.3500,0.030784,859
11,56.2855,59.2500,62.3500,0.030289,965
12,56.0918,59.9400,62.3500,0.030577,1055
13,57.5773,63.1600,63.1600,0.029654,1136
14,55.0718,57.3500,63.1600,0.028914,1219
15,57.4936,61.2900,63.1600,0.028065,1295
16,56.9900,60.7400,63.1600,0.027217,1372
17,57.4100,60.0600,63.1600,0.026392,1451
18,56.7127,59.3700,63.1600,0.026129,1528
19,56.2436,59.0800,63.1600,0.026779,1604
20,57.0355,63.0800,63.1600,0.031924,1678
21,56.1282,57.8800,63.1600,0.033250,1754
22,55.3600,57.7400,63.1600,0.034221,1830
23,55.0418,57.1600,63.1600,0.034090,1903
