generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,56.3858,58.5900,58.5900,0.047139,77
2,57.0200,58.6000,58.6000,0.047365,156
3,56.1725,60.9300,60.9300,0.049605,235
4,56.3392,59.5700,60.9300,0.049686,315
5,56.5208,61.0300,61.0300,0.049972,395
6,57.2225,62.4600,62.4600,0.049817,478
7,56.8783,63.8000,63.8000,0.049161,561
8,56.8992,62.2500,63.8000,0.047267,645
9,56.9292,61.3900,63.8000,0.045353,734
10,57.5208,60.6300,63.8000,0.042865,819
11,56.1175,59.1500,63.8000,0.042719,902
12,55.7567,58.5400,63.8000,0.041758,987
13,57.5225,59.7300,63.8000,0.041923,1074
14,56.8342,62.0700,63.8000,0.041309,1159
15,56.9850,61.1300,63.8000,0.040724,1247
16,56.8033,61.1900,63.8000,0.040596,1339
17,57.5675,61.7300,63.8000,0.040054,1435
