generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,57.8075,64.1900,64.1900,0.092258,81
2,57.6325,60.8300,64.1900,0.088807,165
3,57.3175,62.4400,64.1900,0.085447,247
4,57.4083,61.4200,64.1900,0.083058,331
5,56.5000,61.5500,64.1900,0.080199,415
6,57.6267,63.8900,64.1900,0.074498,500
7,58.2725,61.3000,64.1900,0.072529,582
8,56.9208,59.9000,64.1900,0.070331,668
9,58.9583,62.9600,64.1900,0.068522,753
10,59.7050,61.6900,64.1900,0.066655,834
11,59.6467,64.6200,64.6200,0.066104,918
12,59.2008,62.0300,64.6200,0.065872,999
13,57.1650,60.0200,64.6200,0.067842,1081
14,57.0150,59.6700,64.6200,0.064093,1164
15,58.7367,63.5200,64.6200,0.062223,1244
16,58.3017,60.9600,64.6200,0.061567,1326
17,58.4433,62.1000,64.6200,0.058346,1408
18,56.6650,62.3300,64.6200,0.055659,1488
19,58.9133,63.0800,64.6200,0.057046,1567
20,59.4942,62.8900,64.6200,0.056151,1650
21,58.9858,61.9000,64.6200,0.054620,1733
