generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,54.7033,59.6800,59.6800,0.046787,119
2,58.0733,61.8800,61.8800,0.046319,235
3,57.4967,62.9500,62.9500,0.045512,326
4,58.9517,61.5400,62.9500,0.045071,416
5,58.4683,61.0800,62.9500,0.043763,503
6,57.6667,61.0400,62.9500,0.043270,589
7,59.0183,61.7300,62.9500,0.042466,682
8,58.1250,62.1900,62.9500,0.041453,772
9,59.7500,63.7000,63.7000,0.040638,865
10,58.8183,61.9800,63.7000,0.040061,953
11,58.8167,61.2100,63.7000,0.039253,1042
12,59.8658,64.7700,64.7700,0.038266,1152
13,58.0925,61.2800,64.7700,0.037401,1270
14,59.1442,62.2200,64.7700,0.036897,1394
15,59.6075,63.6300,64.7700,0.035524,1515
16,60.5950,64.2600,64.7700,0.033656,1618
17,59.0767,62.6200,64.7700,0.032784,1718
18,59.4400,61.9100,64.7700,0.032374,1822
19,59.0275,62.1700,64.7700,0.033234,1923
20,59.7617,64.0100,64.7700,0.033511,2017
21,61.0658,62.7500,64.7700,0.033165,2124
22,58.7042,61.5800,64.7700,0.033143,2230
