generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,56.8360,59.8800,59.8800,0.047571,176
2,57.5440,60.7300,60.7300,0.045695,363
3,57.0133,61.1700,61.1700,0.044119,553
4,56.9060,59.2500,61.1700,0.042883,727
5,58.1013,61.5000,61.5000,0.041896,886
6,57.6740,63.3100,63.3100,0.040822,1033
7,56.9200,60.0800,63.3100,0.039689,1193
8,56.2387,59.7000,63.3100,0.039295,1349
9,57.7880,61.8100,63.3100,0.039284,1500
10,57.4180,61.1700,63.3100,0.039041,1650
11,57.2693,60.7300,63.3100,0.039221,1831
12,56.8560,61.5000,63.3100,0.039514,2055
13,57.5127,61.8000,63.3100,0.039856,2220
14,55.9640,58.2400,63.3100,0.039882,2375
15,56.1920,60.6500,63.3100,0.039840,2555
16,57.0093,60.6800,63.3100,0.039609,2743
