generation,gen_avg_vp,gen_best_vp,alltime_best_vp,sigma,elapsed_s
1,57.8564,61.3100,61.3100,0.047263,108
2,58.1909,62.2400,62.2400,0.045289,219
3,56.7918,63.1500,63.1500,0.045273,338
4,58.8918,63.5400,63.5400,0.044446,455
5,57.5200,60.1100,63.5400,0.044458,573
6,59.0655,62.1100,63.5400,0.044613,690
7,57.8127,60.6200,63.5400,0.042917,808
8,59.1945,62.0800,63.5400,0.042860,902
9,56.8709,60.3100,63.5400,0.042918,983
10,58.4000,60.5300,63.5400,0.044156,1064
11,58.4391,61.1500,63.5400,0.047500,1144
12,58.4727,61.9800,63.5400,0.051151,1226
13,58.5582,62.1500,63.5400,0.055657,1307
14,57.1873,59.9600,63.5400,0.057027,1394
